ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:637566 rx_bytes:9141466 tx_packets:7240 rx_packets: 11870
ens33: tx_bytes:637926 rx_bytes:9141976 tx_packets:7244 rx_packets: 11877
ens33: tx_bytes:637926 rx_bytes:9142150 tx_packets:7244 rx_packets: 11878
ens33: tx_bytes:639334 rx_bytes:9142840 tx_packets:7258 rx_packets: 11887
ens33: tx_bytes:639334 rx_bytes:9142840 tx_packets:7258 rx_packets: 11887
ens33: tx_bytes:639614 rx_bytes:9143050 tx_packets:7261 rx_packets: 11890
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:640430 rx_bytes:9143650 tx_packets:7269 rx_packets: 11898
ens33: tx_bytes:641132 rx_bytes:9144250 tx_packets:7276 rx_packets: 11906
ens33: tx_bytes:641884 rx_bytes:9144850 tx_packets:7284 rx_packets: 11914
ens33: tx_bytes:642530 rx_bytes:9145390 tx_packets:7291 rx_packets: 11921
ens33: tx_bytes:642620 rx_bytes:9145600 tx_packets:7292 rx_packets: 11924
ens33: tx_bytes:643306 rx_bytes:9146650 tx_packets:7299 rx_packets: 11938
ens33: tx_bytes:643968 rx_bytes:9147700 tx_packets:7306 rx_packets: 11952
ens33: tx_bytes:644344 rx_bytes:9148240 tx_packets:7310 rx_packets: 11959
ens33: tx_bytes:644442 rx_bytes:9148450 tx_packets:7311 rx_packets: 11962
ens33: tx_bytes:644900 rx_bytes:9148810 tx_packets:7316 rx_packets: 11967
ens33: tx_bytes:645194 rx_bytes:9149110 tx_packets:7319 rx_packets: 11971
ens33: tx_bytes:645512 rx_bytes:9149260 tx_packets:7322 rx_packets: 11973
ens33: tx_bytes:645512 rx_bytes:9149992 tx_packets:7322 rx_packets: 11982
ens33: tx_bytes:645512 rx_bytes:9150816 tx_packets:7322 rx_packets: 11992
ens33: tx_bytes:645846 rx_bytes:9150966 tx_packets:7325 rx_packets: 11994
ens33: tx_bytes:646434 rx_bytes:9151416 tx_packets:7331 rx_packets: 12000
ens33: tx_bytes:649850 rx_bytes:9154290 tx_packets:7367 rx_packets: 12037
ens33: tx_bytes:653988 rx_bytes:9157740 tx_packets:7411 rx_packets: 12082
ens33: tx_bytes:654800 rx_bytes:9158250 tx_packets:7420 rx_packets: 12089
ens33: tx_bytes:659952 rx_bytes:9160830 tx_packets:7476 rx_packets: 12125
ens33: tx_bytes:661424 rx_bytes:9161550 tx_packets:7492 rx_packets: 12135
ens33: tx_bytes:661922 rx_bytes:9162390 tx_packets:7497 rx_packets: 12146
ens33: tx_bytes:662666 rx_bytes:9163110 tx_packets:7505 rx_packets: 12156
